citypair,aircraft,sum_departures_performed,sum_departures_scheduled,passengers,seats,avg_fuel_price,avg_stock_price,total_operating_expense,quarter,year,revenue
BUF-MCO,Boeing 737-300,105.0,108.0,12495.0,14865.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-MCO,Boeing 737-700/700LR/Max 7,164.0,165.0,19277.0,23452.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-MDW,Boeing 737-700/700LR/Max 7,109.0,115.0,13008.0,15587.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-MDW,Boeing 737-800,64.0,67.0,6406.0,11200.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-RSW,Boeing 737-700/700LR/Max 7,55.0,58.0,6916.0,7865.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUF-TPA,Boeing 737-800,107.0,109.0,15734.0,18725.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-DEN,Boeing 737-700/700LR/Max 7,113.0,115.0,12163.0,16159.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-DEN,Boeing 737-800,53.0,54.0,6946.0,9275.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-LAS,Boeing 737-700/700LR/Max 7,776.0,789.0,74073.0,110968.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-LAS,Boeing 737-800,1.0,2.0,42.0,175.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-OAK,Boeing 737-700/700LR/Max 7,849.0,884.0,87819.0,121407.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-PHX,Boeing 737-700/700LR/Max 7,469.0,481.0,48076.0,67067.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-SFO,Boeing 737-700/700LR/Max 7,217.0,233.0,15128.0,31031.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-SJC,Boeing 737-700/700LR/Max 7,555.0,569.0,50582.0,79365.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BUR-SMF,Boeing 737-700/700LR/Max 7,567.0,571.0,55875.0,81081.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
BWI-ABQ,Boeing 737-700/700LR/Max 7,89.0,91.0,11417.0,12727.0,33.626393442622955,41.25081960655738,3882505.0,1,2016,4826
